,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
0,9,15,9,0.55,0.2,10000,expert,0.7217091855764558,,0.6834429127197313,0.7222353362774546,0.1543209876543207,0.7107290693539051
1,9,15,9,0.55,0.2,10000,diverse,0.6444708392380966,,0.6546420141048676,0.6544721584409973,0.4444444444444441,0.6198767285898328
2,9,15,9,0.55,0.2,10000,diverse,0.6535190954542698,,0.6546420141048676,0.6548134036490955,0.4444444444444441,0.6253062129535092
3,9,15,9,0.55,0.2,10000,diverse,0.6379403945150255,,0.6546420141048676,0.6537755516823166,0.4444444444444442,0.6113070907760204
4,9,15,9,0.55,0.2,10000,diverse,0.652458752978878,,0.6546420141048676,0.6547171754170968,0.4444444444444442,0.6238964789555969
5,9,15,9,0.55,0.2,10000,diverse,0.6600902439458964,,0.6546420141048676,0.6549521934315441,0.4444444444444441,0.6278399243545416
6,9,15,9,0.55,0.2,10000,diverse,0.6550647861425802,,0.6546420141048676,0.6547655714023006,0.4444444444444443,0.624701857873319
7,9,15,9,0.55,0.2,10000,diverse,0.6469215569767977,,0.6546420141048676,0.654469761814607,0.4444444444444441,0.620070809873186
8,9,15,9,0.55,0.2,10000,diverse,0.6580069372462877,,0.6546420141048676,0.6549813789661074,0.4444444444444441,0.6278245078367631
9,9,15,9,0.55,0.2,10000,diverse,0.6394954102516363,,0.6546420141048676,0.6540689556023116,0.4444444444444443,0.6134901018509047
10,9,15,9,0.55,0.2,10000,diverse,0.6555745677706508,,0.6546420141048676,0.6547684988310152,0.4444444444444442,0.6250339486767559
11,9,15,9,0.55,0.2,10000,diverse,0.6447575596005631,,0.6546420141048676,0.6542048854298627,0.4444444444444441,0.6162456423428231
12,9,15,9,0.55,0.2,10000,diverse,0.647890311762513,,0.6546420141048676,0.6545171407263581,0.4444444444444441,0.6208627928770469
13,9,15,9,0.55,0.2,10000,diverse,0.652752529779313,,0.6546420141048676,0.6545952384161577,0.4444444444444442,0.6220646541187694
14,9,15,9,0.55,0.2,10000,diverse,0.6525464028243417,,0.6546420141048676,0.6547431800726863,0.4444444444444442,0.6241754803091961
15,9,15,9,0.55,0.2,10000,diverse,0.6487875379976954,,0.6546420141048676,0.6545208498019841,0.444444444444444,0.6206524923515521
16,9,15,9,0.55,0.2,10000,diverse,0.6389717781595372,,0.6546420141048676,0.6540326448007433,0.4444444444444441,0.6134452320515832
17,9,15,9,0.55,0.2,10000,diverse,0.6506394142705441,,0.6546420141048676,0.6546191231851848,0.4444444444444443,0.6226279081145409
18,9,15,9,0.55,0.2,10000,diverse,0.648069390699147,,0.6546420141048676,0.6545434485262085,0.4444444444444442,0.6212949176901007
19,9,15,9,0.55,0.2,10000,diverse,0.652562378557122,,0.6546420141048676,0.6547628597470223,0.4444444444444441,0.6248610023727791
20,9,15,9,0.55,0.2,10000,diverse,0.6578823281993369,,0.6546420141048676,0.6548703248822351,0.444444444444444,0.6266533259361577
